,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q79,Q8_Browser,Q8_Version,Q8_Operating System,Q8_Resolution,age,years_education,english_first_lang,handedness,sex_at_birth,gender,Q15_6_TEXT,ethnicity,Q16_4_TEXT,Q17,Q17_8_TEXT,SBSOD_1_1,SBSOD_2_1,SBSOD_3_1,SBSOD_4_1,SBSOD_5_1,SBSOD_6_1,SBSOD_7_1,SBSOD_8_1,SBSOD_9_1,SBSOD_10_1,SBSOD_11_1,SBSOD_12_1,SBSOD_13_1,SBSOD_14_1,SBSOD_15_1,VVIQ_1_Open_1,VVIQ_2_Open_1,VVIQ_3_Open_1,VVIQ_4_Open_1,VVIQ_5_Open_1,VVIQ_6_Open_1,VVIQ_7_Open_1,VVIQ_8_Open_1,VVIQ_9_Open_1,VVIQ_10_Open_1,VVIQ_11_Open_1,VVIQ_12_Open_1,VVIQ_13_Open_1,VVIQ_14_Open_1,VVIQ_15_Open_1,VVIQ_16_Open_1,VVIQ_1_Closed_1,VVIQ_2_Closed_1,VVIQ_3_Closed_1,VVIQ_4_Closed_1,VVIQ_5_Closed_1,VVIQ_6_Closed_1,VVIQ_7_Closed_1,VVIQ_8_Closed_1,VVIQ_9_Closed_1,VVIQ_10_Closed_1,VVIQ_11_Closed_1,VVIQ_12_Closed_1,VVIQ_13_Closed_1,VVIQ_14_Closed_1,VVIQ_15_Closed_1,VVIQ_16_Closed_1,Q95,id,Complete Data,Ling_or_Analog,Attention Check,participant
78,11/23/20 8:31,11/23/20 8:47,IP Address,128.227.1.41,100,971,TRUE,11/23/20 8:47,R_2A0Zr7q3tK2D9mW,,,,,29.61380005,-82.38600159,anonymous,EN,,Chrome,86.0.4240.198,Macintosh,1440x900,20.0,14,english,right,male,man,,heterosexual,,white,,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Disagree,Somewhat disagree,Neutral,Disagree,Somewhat agree,Agree,Neutral,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Clear and reasonably vivid,Clear and reasonably vivid,Vague and dim,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,ufbold5000,44235.0,1.0,Analog,8.0,44235.0
79,11/23/20 8:53,11/23/20 9:18,IP Address,35.138.68.235,100,1469,TRUE,11/23/20 9:18,R_2bUVUFKk86M7KeY,,,,,28.0381012,-81.93920135,anonymous,EN,,Chrome,86.0.4240.80,Macintosh,1440x900,19.0,12,english,right,female,woman,,heterosexual,,white,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neutral,Neutral,Neutral,Somewhat agree,Somewhat disagree,Somewhat agree,Neutral,Neutral,Moderate clear and vivid,Clear and reasonably vivid,Vague and dim,Clear and reasonably vivid,Vague and dim,Moderate clear and vivid,Vague and dim,Vague and dim,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Vague and dim,Vague and dim,Clear and reasonably vivid,Clear and reasonably vivid,Vague and dim,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,"No image at all, you only ""know"" that you are thinking of an object",Vague and dim,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Vague and dim,Vague and dim,ufbold5000,43823.0,1.0,Analog,8.0,43823.0
80,11/23/20 10:40,11/23/20 10:54,IP Address,70.171.5.251,100,832,TRUE,11/23/20 10:54,R_22zYs2yEF3r3kya,,,,,29.68249512,-82.36060333,anonymous,EN,,Chrome,86.0.4240.198,Macintosh,1440x900,18.0,12,english,not right,female,woman,,bisexual,,hisp,,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Vague and dim,Vague and dim,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Vague and dim,Vague and dim,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Vague and dim,Vague and dim,Vague and dim,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,ufbold5000,44321.0,1.0,Ling,7.0,44321.0
82,11/23/20 10:55,11/23/20 12:52,IP Address,69.243.227.56,100,7033,TRUE,11/23/20 12:52,R_242HNlBtkTzHCj9,,,,,30.16549683,-85.71160126,anonymous,EN,,Chrome,86.0.4240.198,Macintosh,1440x900,18.0,12,english,right,female,woman,,heterosexual,,white,,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Agree,Neutral,Somewhat agree,Neutral,Neutral,Agree,Disagree,Somewhat agree,Neutral,Neutral,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Vague and dim,Moderate clear and vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivd,Moderate clear and vivid,Vague and dim,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Vague and dim,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,ufbold5000,44602.0,1.0,Ling,8.0,44602.0
83,11/22/20 17:45,11/23/20 12:53,IP Address,70.127.147.211,100,68861,TRUE,11/23/20 12:53,R_26eFRt6iurmTpeY,,,,,27.86759949,-82.73519897,anonymous,EN,,Chrome,86.0.4240.111,Macintosh,1440x900,19.0,14,english,right,female,woman,,heterosexual,,white,,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Strongly disagree,Agree,Disagree,Neutral,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Vague and dim,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,ufbold5000,44406.0,1.0,Ling,6.0,44406.0
84,11/23/20 12:37,11/23/20 12:58,IP Address,24.250.188.11,100,1245,TRUE,11/23/20 12:58,R_21aCys0IMD3DDz1,,,,,29.65150452,-82.34929657,anonymous,EN,,Edge,87.0.664.41,Windows NT 10.0,1536x864,20.0,14,english,right,male,man,,heterosexual,,white,,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Somewhat agree,Disagree,Clear and reasonably vivid,Clear and reasonably vivid,Vague and dim,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,ufbold5000,44464.0,1.0,Ling,9.0,44464.0
85,11/23/20 13:45,11/23/20 14:09,IP Address,99.136.227.8,100,1415,TRUE,11/23/20 14:09,R_2dhClCshEKXssD7,,,,,30.0821991,-81.54979706,anonymous,EN,,Chrome,86.0.4240.198,Macintosh,1680x1050,18.0,12,english,right,female,woman,,heterosexual,,white,,Strongly agree,Somewhat disagree,Somewhat agree,Agree,Strongly disagree,Somewhat agree,Disagree,Somewhat disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Vague and dim,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Vague and dim,Vague and dim,Moderate clear and vivd,Clear and reasonably vivid,Vague and dim,Vague and dim,Vague and dim,Moderate clear and vivid,Vague and dim,Moderate clear and vivid,Vague and dim,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Vague and dim,Clear and reasonably vivid,Clear and reasonably vivid,Vague and dim,Moderate clear and vivid,ufbold5000,44458.0,1.0,Ling,8.0,44458.0
86,11/23/20 15:14,11/23/20 15:34,IP Address,73.43.182.157,100,1221,TRUE,11/23/20 15:34,R_1Sx98ylF34q9K6J,,,,,33.93490601,-84.39219666,anonymous,EN,,Chrome,87.0.4280.66,Windows NT 10.0,1536x864,20.0,14,english,right,male,man,,heterosexual,,white,,Neutral,Disagree,Somewhat disagree,Agree,Strongly disagree,Agree,Neutral,Neutral,Neutral,Somewhat disagree,Neutral,Strongly disagree,Disagree,Disagree,Somewhat disagree,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,ufbold5000,44421.0,1.0,Ling,8.0,44421.0
87,11/23/20 16:21,11/23/20 16:48,IP Address,24.18.68.167,100,1591,TRUE,11/23/20 16:48,R_2Y57eOvJtvH7sM9,,,,,47.07730103,-122.3921051,anonymous,EN,,Firefox,82,Windows NT 10.0,1920x1080,19.0,13,english,right,female,woman,,heterosexual,,white,,Agree,Somewhat disagree,Agree,Neutral,Somewhat agree,Agree,Neutral,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree,Agree,Somewhat agree,Somewhat disagree,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,ufbold5000,44293.0,1.0,Analog,9.0,44293.0
88,11/23/20 17:45,11/23/20 18:08,IP Address,65.34.170.117,100,1358,TRUE,11/23/20 18:08,R_1prR1a0QCjuAfS7,,,,,26.61129761,-80.17430115,anonymous,EN,,Chrome,86.0.4240.198,Windows NT 10.0,1280x720,18.0,12,not english,right,male,man,,heterosexual,,asian,,Strongly agree,Disagree,Agree,Strongly agree,Somewhat agree,Strongly disagree,Agree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,ufbold5000,44368.0,1.0,Ling,7.0,44368.0
91,11/23/20 19:52,11/23/20 20:20,IP Address,139.138.91.189,100,1718,TRUE,11/23/20 20:20,R_2S35yb0IrPEDVml,,,,,26.27290344,-80.26000214,anonymous,EN,,Firefox,82,Windows NT 10.0,1366x768,18.0,12,english,right,female,woman,,heterosexual,,"black/afri-amer,hisp",,Disagree,Strongly agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Strongly agree,Somewhat disagree,Strongly disagree,Disagree,Somewhat disagree,Disagree,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Vague and dim,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Vague and dim,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Vague and dim,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,ufbold5000,44606.0,1.0,Analog,6.0,44606.0
92,11/24/20 8:17,11/24/20 8:43,IP Address,184.91.42.34,100,1556,TRUE,11/24/20 8:43,R_2dRSuzfA8ZJWgI8,,,,,29.28660583,-81.0868988,anonymous,EN,,Safari,14,Macintosh,1440x900,19.0,12,english,right,female,woman,,heterosexual,,white,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Agree,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,ufbold5000,44608.0,1.0,Analog,9.0,44608.0
93,11/24/20 9:11,11/24/20 9:47,IP Address,35.138.195.151,100,2146,TRUE,11/24/20 9:47,R_2S6unSw656CYHNF,,,,,28.24749756,-82.49430084,anonymous,EN,,Chrome,87.0.4280.67,Macintosh,1440x900,18.0,12,english,right,do not wish to say,do not wish to say,,do not wish to say,,do not wish to say,,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly disagree,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivd,Moderate clear and vivid,Moderate clear and vivid,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,ufbold5000,44609.0,1.0,Ling,9.0,44609.0
94,11/24/20 10:53,11/24/20 11:04,IP Address,68.227.78.195,100,702,TRUE,11/24/20 11:04,R_qxW0DsoSr7jKlmF,,,,,29.646698,-82.32839966,anonymous,EN,,Chrome,75.0.3770.100,Macintosh,1280x800,19.0,14,english,right,female,woman,,heterosexual,,white,,Strongly agree,Somewhat agree,Agree,Somewhat agree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,ufbold5000,44607.0,1.0,Analog,9.0,44607.0
95,11/24/20 11:10,11/24/20 11:37,IP Address,128.227.1.38,100,1592,TRUE,11/24/20 11:37,R_1i8NN52LhwjpbhM,,,,,29.646698,-82.32839966,anonymous,EN,,Chrome,87.0.4280.67,Macintosh,1440x900,19.0,12,english,right,female,woman,,heterosexual,,white,,Agree,Somewhat disagree,Somewhat agree,Strongly agree,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Somewhat disagree,Strongly agree,Strongly disagree,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,ufbold5000,44354.0,1.0,Analog,8.0,44354.0
99,11/24/20 13:32,11/24/20 14:52,IP Address,173.168.161.6,100,4767,TRUE,11/24/20 14:52,R_1l48RlTpwOMBTWe,,,,,28.03860474,-82.36959839,anonymous,EN,,Chrome,87.0.4280.66,Windows NT 10.0,1280x720,19.0,12,not english,right,male,man,,heterosexual,,hisp,,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Agree,Somewhat disagree,Somewhat disagree,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Vague and dim,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Vague and dim,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Moderate clear and vivid,Vague and dim,ufbold5000,44612.0,1.0,Ling,9.0,44612.0
101,11/24/20 11:45,11/24/20 15:31,IP Address,69.180.107.182,100,13522,TRUE,11/24/20 15:31,R_Oe5taF1LpMXyMOR,,,,,26.09899902,-80.18219757,anonymous,EN,,Chrome,86.0.4240.198,Macintosh,1440x900,18.0,12,english,not right,female,woman,,heterosexual,,white,,Agree,Agree,Somewhat disagree,Agree,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivd,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,ufbold5000,44241.0,1.0,Analog,9.0,44241.0
102,11/24/20 15:03,11/24/20 15:33,IP Address,162.225.119.33,100,1787,TRUE,11/24/20 15:33,R_31A5WDKhT5qRqx7,,,,,25.81530762,-80.35769653,anonymous,EN,,Chrome,86.0.4240.193,Macintosh,1440x900,20.0,14,not english,right,female,woman,,heterosexual,,hisp,,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,ufbold5000,44613.0,1.0,Ling,9.0,44613.0
